mtu,tx bps(Gbps)
1518,0
1518,0
1518,0
1518,2.831715456
1518,19.855798656
1518,20.065865088
1518,20.04754752
1518,20.021570304
1518,20.1440544
1518,20.124354816
1518,20.169188352
1518,20.173053312
1518,20.166377472
1518,20.105732736
1518,20.15939712
1518,20.1030624
1518,20.075140992
1518,20.163590016
1518,20.176075008
1518,20.145085056
1518,20.142812928
1518,20.146537344
1518,20.145717504
1518,20.10458496
1518,20.154899712
1518,20.128781952
1518,20.12308992
1518,20.114844672
1518,20.149980672
1518,20.112642816
1518,20.183945472
1518,20.137636224
1518,20.144241792
1518,2.329095168
