framework,mtu,throughput
RUN,128,1.320286688
RUN,128,1.339904384
RUN,128,1.34179168
RUN,128,1.342185952
RUN,128,1.327178752
RUN,128,1.340990112
RUN,128,1.344293472
RUN,128,1.34411232
RUN,128,1.343340352
RUN,128,1.34568704
RUN,256,3.361428672
RUN,256,3.503995424
RUN,256,3.511839488
RUN,256,3.518284096
RUN,256,3.511270656
RUN,256,3.521774656
RUN,256,3.522498624
RUN,256,3.524024128
RUN,256,3.518203296
RUN,256,3.503636672
RUN,512,7.403009408
RUN,512,7.533491776
RUN,512,7.513457024
RUN,512,7.494660704
RUN,512,7.53688464
RUN,512,7.526009888
RUN,512,7.524492992
RUN,512,7.5264056
RUN,512,7.521928192
RUN,512,7.534708224
RUN,1518,19.222647936
RUN,1518,19.158981504
RUN,1518,19.006772352
RUN,1518,19.19514816
RUN,1518,19.154976
RUN,1518,19.177744128
RUN,1518,19.164017664
RUN,1518,19.092808704
RUN,1518,19.178001792
RUN,1518,19.14841728
RUN_CURSOR,128,1.388769248
RUN_CURSOR,128,1.39733904
RUN_CURSOR,128,1.39408896
RUN_CURSOR,128,1.39784224
RUN_CURSOR,128,1.399775712
RUN_CURSOR,128,1.394078304
RUN_CURSOR,128,1.382003872
RUN_CURSOR,128,1.39363312
RUN_CURSOR,256,3.668229504
RUN_CURSOR,256,3.673284352
RUN_CURSOR,256,3.676797536
RUN_CURSOR,256,3.67662624
RUN_CURSOR,512,7.849746272
RUN_CURSOR,512,7.858576512
RUN_CURSOR,512,7.822046432
RUN_CURSOR,512,7.843876544
RUN_CURSOR,512,7.863339712
RUN_CURSOR,512,7.868432672
RUN_CURSOR,512,7.814198144
RUN_CURSOR,512,7.859111456
RUN_CURSOR,512,7.850530368
RUN_CURSOR,512,7.848060832
RUN_CURSOR,512,7.860804224
RUN_CURSOR,512,7.849204
RUN_CURSOR,512,7.858679104
RUN_CURSOR,512,7.869451264
RUN_CURSOR,512,7.861559008
RUN_CURSOR,512,7.856099648
RUN_CURSOR,512,7.851057984
RUN_CURSOR,512,7.859382592
RUN_CURSOR,512,7.865406208
RUN_CURSOR,512,7.841494944
RUN_CURSOR,512,7.826032864
RUN_CURSOR,512,7.866065728
RUN_CURSOR,512,7.862013344
RUN_CURSOR,512,7.84696896
RUN_CURSOR,512,7.858378656
RUN_CURSOR,512,7.85656864
RUN_CURSOR,1518,20.310645888
RUN_CURSOR,1518,20.293827456
RUN_CURSOR,1518,20.271106176
RUN_CURSOR,1518,20.26925568
RUN_CURSOR,1518,20.312847744
RUN_CURSOR,1518,20.320015488
RUN_CURSOR,1518,20.275603584
RUN_CURSOR,1518,20.275158528
RUN_CURSOR,1518,20.327979648
RUN_CURSOR,1518,20.325098496
RUN_CURSOR,1518,20.302728576
RUN_CURSOR,1518,20.312683776
RUN_CURSOR,1518,20.305469184
RUN_CURSOR,1518,20.156750208
RUN_CURSOR,1518,20.19593856
RUN_CURSOR,1518,20.30649984
RUN_CURSOR,1518,20.307507072
RUN_CURSOR,1518,20.07870144
RUN_CURSOR,1518,20.233135872
RUN_CURSOR,1518,20.20507392
RUN_CURSOR,1518,20.308467456
RUN_CURSOR,1518,20.258808576
RUN_CURSOR,1518,20.213014656
RUN_CURSOR,1518,20.314510848
RUN_CURSOR,1518,20.341612416
RUN_CURSOR,1518,20.318961408
SmolTcp,128,1.377392192
SmolTcp,128,1.374243936
SmolTcp,128,1.376898464
SmolTcp,128,1.378207968
SmolTcp,128,1.376817952
SmolTcp,128,1.377965248
SmolTcp,128,1.377308128
SmolTcp,128,1.371513632
SmolTcp,128,1.37744784
SmolTcp,128,1.378615264
SmolTcp,128,1.37936
SmolTcp,128,1.377156576
SmolTcp,128,1.379108992
SmolTcp,128,1.37954944
SmolTcp,128,1.380462304
SmolTcp,128,1.380475328
SmolTcp,128,1.378065888
SmolTcp,128,1.3806032
SmolTcp,128,1.37364128
SmolTcp,128,1.378450688
SmolTcp,128,1.379974496
SmolTcp,128,1.375408992
SmolTcp,128,1.380229056
SmolTcp,128,1.379014272
SmolTcp,128,1.377948672
SmolTcp,128,1.33554016
SmolTcp,256,3.608124
SmolTcp,256,3.60563536
SmolTcp,256,3.589255584
SmolTcp,256,3.590968544
SmolTcp,256,3.619125728
SmolTcp,256,3.61218016
SmolTcp,256,3.612894432
SmolTcp,256,3.605072992
SmolTcp,256,3.61998544
SmolTcp,256,3.605076224
SmolTcp,256,3.61494352
SmolTcp,256,3.60309824
SmolTcp,256,3.622693856
SmolTcp,256,3.613188544
SmolTcp,256,3.603133792
SmolTcp,256,3.585874912
SmolTcp,256,3.608708992
SmolTcp,256,3.608492448
SmolTcp,256,3.611191168
SmolTcp,256,3.620683552
SmolTcp,256,3.618893024
SmolTcp,256,3.6110328
SmolTcp,256,3.619235616
SmolTcp,256,3.582448992
SmolTcp,256,3.617584064
SmolTcp,256,3.612522752
SmolTcp,512,7.788938528
SmolTcp,512,7.81197776
SmolTcp,512,7.80472304
SmolTcp,512,7.745827904
SmolTcp,512,7.751609696
SmolTcp,512,7.756680672
SmolTcp,512,7.786542272
SmolTcp,512,7.785472384
SmolTcp,512,7.805866208
SmolTcp,512,7.78607328
SmolTcp,512,7.816315936
SmolTcp,512,7.792844352
SmolTcp,512,7.758094976
SmolTcp,512,7.821408896
SmolTcp,512,7.819349728
SmolTcp,512,7.805375232
SmolTcp,512,7.807852096
SmolTcp,512,7.808401696
SmolTcp,512,7.814740416
SmolTcp,512,7.811325568
SmolTcp,512,7.813274816
SmolTcp,512,7.814696448
SmolTcp,512,7.762726272
SmolTcp,512,7.594028384
SmolTcp,512,7.745696
SmolTcp,512,7.603957824
SmolTcp,1518,20.031666048
SmolTcp,1518,19.973270016
SmolTcp,1518,20.0456736
SmolTcp,1518,20.057666688
SmolTcp,1518,20.050217856
SmolTcp,1518,19.83509184
SmolTcp,1518,19.844016384
SmolTcp,1518,19.932605952
SmolTcp,1518,19.923821952
SmolTcp,1518,20.01850176
SmolTcp,1518,20.04052032
SmolTcp,1518,20.018197248
SmolTcp,1518,20.029604736
SmolTcp,1518,20.03372736
SmolTcp,1518,20.060828928
SmolTcp,1518,20.054762112
SmolTcp,1518,20.024615424
SmolTcp,1518,19.991142528
SmolTcp,1518,19.951649664
SmolTcp,1518,20.065513728
SmolTcp,1518,20.091842304
SmolTcp,1518,20.002784256
SmolTcp,1518,20.078092416
SmolTcp,1518,19.95478848
SmolTcp,1518,20.040356352
SmolTcp,1518,20.043940224
Pnet,128,1.257225664
Pnet,128,1.263509152
Pnet,128,1.25576224
Pnet,128,1.26284848
Pnet,128,1.265152544
Pnet,128,1.263188288
Pnet,128,1.264709728
Pnet,128,1.2641568
Pnet,128,1.261914304
Pnet,128,1.265225952
Pnet,128,1.264237312
Pnet,128,1.262687456
Pnet,128,1.264670656
Pnet,128,1.263929472
Pnet,128,1.265812032
Pnet,128,1.264960736
Pnet,128,1.26560128
Pnet,128,1.265575232
Pnet,128,1.265082688
Pnet,128,1.265059008
Pnet,128,1.266034624
Pnet,128,1.26344048
Pnet,128,1.265967136
Pnet,128,1.263383648
Pnet,128,1.261743808
Pnet,128,1.265307648
Pnet,256,3.076967424
Pnet,256,3.1138704
Pnet,256,3.092390528
Pnet,256,3.084178016
Pnet,256,3.086841184
Pnet,256,3.114174208
Pnet,256,3.110392768
Pnet,256,3.11513088
Pnet,256,3.090477184
Pnet,256,3.116653152
Pnet,256,3.111391456
