framework,mtu,throughput
Pbuf,1518,26.841784832
Pbuf,1518,27.214143744
Pbuf,1518,27.12355456
Pbuf,1518,27.287895552
Pbuf,1518,26.850955392
Pbuf,1518,27.2664672
Pbuf,1518,27.234364544
Pbuf,1518,27.227802752
Pbuf,1518,27.006889088
Pbuf,1518,27.15955328
Pbuf,1518,27.340731648
Pbuf,1518,27.15442688
Pbuf,1518,27.08100544
Pbuf,1518,27.32245888
Pbuf,1518,27.323951232
Pbuf,1518,27.366158592
Pbuf,1518,27.104791936
Pbuf,1518,27.162526592
Pbuf,1518,27.329305472
Pbuf,1518,27.300381184
Pbuf,512,9.072763568
Pbuf,512,9.115453072
Pbuf,512,9.192010608
Pbuf,512,9.202968896
Pbuf,512,9.193364928
Pbuf,512,9.173264144
Pbuf,512,9.19412736
Pbuf,512,9.110687872
Pbuf,512,9.202373664
Pbuf,512,9.151962864
Pbuf,512,9.215288192
Pbuf,512,9.217157488
Pbuf,512,9.159714256
Pbuf,512,9.183871312
Pbuf,512,9.19615048
Pbuf,512,9.195712416
Pbuf,512,9.121505712
Pbuf,512,9.178320272
Pbuf,512,9.175477872
Pbuf,512,9.199731904
Pbuf,256,3.598137936
Pbuf,256,3.609620496
Pbuf,256,3.61431072
Pbuf,256,3.61432368
Pbuf,256,3.614611392
Pbuf,256,3.610687104
Pbuf,256,3.619253664
Pbuf,256,3.614151312
Pbuf,256,3.576172032
Pbuf,256,3.590566704
Pbuf,256,3.616318224
Pbuf,256,3.610865952
Pbuf,256,3.597241104
Pbuf,256,3.588200208
Pbuf,256,3.607755552
Pbuf,256,3.610272384
Pbuf,256,3.5990568
Pbuf,256,3.600894528
Pbuf,256,3.620899584
Pbuf,128,0.724095008
Pbuf,128,0.758949088
Pbuf,128,0.726423056
Pbuf,128,0.759344304
Pbuf,128,0.731202096
Pbuf,128,0.765407728
Pbuf,128,0.775789968
Pbuf,128,0.775516336
Pbuf,128,0.742343216
Pbuf,128,0.775925424
Pbuf,128,0.774335584
Pbuf,128,0.77611936
Pbuf,128,0.7760704
Pbuf,128,0.776001856
Pbuf,128,0.776135952
Pbuf,128,0.743251696
Pbuf,128,0.742990576
Pbuf,128,0.774889376
Pbuf,128,0.776059792
Pbuf,128,0.743778016
Cursor,1518,27.157776128
Cursor,1518,27.303172224
Cursor,1518,27.041053696
Cursor,1518,26.959885696
Cursor,1518,27.218586624
Cursor,1518,27.311499776
Cursor,1518,26.985415168
Cursor,1518,26.953973248
Cursor,1518,26.978568576
Cursor,1518,27.07946752
Cursor,1518,27.142317184
Cursor,1518,27.17464768
Cursor,1518,27.243466752
Cursor,1518,27.023179648
Cursor,1518,27.086052096
Cursor,1518,27.20739968
Cursor,1518,27.150223232
Cursor,1518,27.188226944
Cursor,1518,27.047080064
Cursor,1518,27.185914368
Cursor,512,9.227630896
Cursor,512,9.233727008
Cursor,512,9.236639632
Cursor,512,9.25806464
Cursor,512,9.248721504
Cursor,512,9.237927072
Cursor,512,9.239140944
Cursor,512,9.244488
Cursor,512,9.2423144
Cursor,512,9.236248384
Cursor,512,9.254600256
Cursor,512,9.254245792
Cursor,512,9.23636208
Cursor,512,9.266494864
Cursor,512,9.257666704
Cursor,512,9.268390912
Cursor,512,9.238612592
Cursor,512,9.2307776
Cursor,512,9.208677104
Cursor,512,9.174688688
Cursor,256,3.647847312
Cursor,256,3.649034448
Cursor,256,3.644814672
Cursor,256,3.645838512
Cursor,256,3.64877136
Cursor,256,3.650975856
Cursor,256,3.64732632
Cursor,256,3.645296784
Cursor,256,3.652777296
Cursor,256,3.6471384
Cursor,256,3.65162256
Cursor,256,3.650535216
Cursor,256,3.644918352
Cursor,256,3.6521928
Cursor,256,3.643027488
Cursor,256,3.649262544
Cursor,256,3.65562072
Cursor,256,3.653986464
Cursor,256,3.655308384
Cursor,256,3.615241248
Cursor,128,0.775172256
Cursor,128,0.776715312
Cursor,128,0.77616288
Cursor,128,0.776314112
Cursor,128,0.740092144
Cursor,128,0.776872528
Cursor,128,0.77662256
Cursor,128,0.775013952
Cursor,128,0.77681568
Cursor,128,0.7399556
Cursor,128,0.775320496
Cursor,128,0.77718288
Cursor,128,0.738833872
Cursor,128,0.740114176
Cursor,128,0.777882464
Cursor,128,0.77739096
Cursor,128,0.776536064
Cursor,128,0.775426304
Cursor,128,0.777813104
Cursor,128,0.776954128
SmolTcp,1518,26.726634496
SmolTcp,1518,26.628617728
SmolTcp,1518,26.697254528
SmolTcp,1518,26.852630016
SmolTcp,1518,26.860889216
SmolTcp,1518,26.886726272
SmolTcp,1518,26.849417472
SmolTcp,1518,26.79107904
SmolTcp,1518,26.404480128
SmolTcp,1518,26.93945984
SmolTcp,1518,26.91696064
SmolTcp,1518,26.814022528
SmolTcp,1518,26.790725888
SmolTcp,1518,26.83448256
SmolTcp,1518,26.860991744
SmolTcp,1518,26.89235392
SmolTcp,1518,26.75992192
SmolTcp,1518,26.875881088
SmolTcp,1518,26.853700864
SmolTcp,1518,26.945178624
SmolTcp,512,8.947554176
SmolTcp,512,8.996172592
SmolTcp,512,9.034825888
SmolTcp,512,9.020032032
SmolTcp,512,8.98668232
SmolTcp,512,9.039276752
SmolTcp,512,9.035641824
SmolTcp,512,9.028519104
SmolTcp,512,9.06100272
SmolTcp,512,9.039731536
SmolTcp,512,9.03537096
SmolTcp,512,9.036324
SmolTcp,512,9.04521904
SmolTcp,512,9.011819168
SmolTcp,512,9.031418352
SmolTcp,512,9.01037456
SmolTcp,512,9.020921536
SmolTcp,512,9.014601376
SmolTcp,512,9.021031888
SmolTcp,512,9.002486064
SmolTcp,256,3.573858672
SmolTcp,256,3.56795928
SmolTcp,256,3.555267552
SmolTcp,256,3.553182288
SmolTcp,256,3.508199424
SmolTcp,256,3.538466208
SmolTcp,256,3.551347152
SmolTcp,256,3.556209744
SmolTcp,256,3.559071312
SmolTcp,256,3.56832216
SmolTcp,256,3.562624944
SmolTcp,256,3.564964224
SmolTcp,256,3.571687872
SmolTcp,256,3.573962352
SmolTcp,256,3.549991536
SmolTcp,256,3.53553984
SmolTcp,256,3.56814072
SmolTcp,256,3.537726192
SmolTcp,256,3.544007904
SmolTcp,256,3.573652608
SmolTcp,128,0.759295888
SmolTcp,128,0.727046208
SmolTcp,128,0.760587888
SmolTcp,128,0.727430544
SmolTcp,128,0.759079104
SmolTcp,128,0.760036816
SmolTcp,128,0.760897696
SmolTcp,128,0.695023648
SmolTcp,128,0.757054336
SmolTcp,128,0.759692464
SmolTcp,128,0.759890208
SmolTcp,128,0.760825616
SmolTcp,128,0.760935776
SmolTcp,128,0.760329216
SmolTcp,128,0.75927304
SmolTcp,128,0.727586944
SmolTcp,128,0.760945568
SmolTcp,128,0.758838112
SmolTcp,128,0.72739192
SmolTcp,128,0.759171856
Pnet,1518,24.534870656
Pnet,1518,25.771107712
Pnet,1518,25.994926336
Pnet,1518,25.594622848
Pnet,1518,25.767633152
Pnet,1518,25.763737088
Pnet,1518,25.740269568
Pnet,1518,25.788674176
Pnet,1518,25.603873152
Pnet,1518,25.691204224
Pnet,1518,25.774935424
Pnet,1518,25.804281216
Pnet,1518,25.775812608
Pnet,1518,25.717702016
Pnet,1518,25.788036224
Pnet,1518,25.75229952
Pnet,1518,25.784800896
Pnet,1518,25.818669312
Pnet,1518,25.742992256
Pnet,512,8.627356144
Pnet,512,8.56993632
Pnet,512,8.60330944
Pnet,512,8.604336048
Pnet,512,8.62720232
Pnet,512,8.590588864
Pnet,512,8.619287072
Pnet,512,8.630633264
Pnet,512,8.650764144
Pnet,512,8.62531296
Pnet,512,8.61834072
Pnet,512,8.616043392
Pnet,512,8.626704064
Pnet,512,8.549260368
Pnet,512,8.61098392
Pnet,512,8.609037712
