generator,core number,packet size,throughput,packet per seconds
Testpmd,1,64,22.192532624,43344790
Testpmd,1,64,22.174913872,43310378
Testpmd,2,64,37.171982112,72601527
Testpmd,2,64,37.158776656,72575735
Testpmd,2,64,37.220510544,72696309
Testpmd,4,64,40.668182480,79430043
Testpmd,4,64,40.684839856,79462561
Testpmd,4,64,40.669561832,79432769
Testpmd,8,64,42.717970112,83433518
Testpmd,8,64,42.689549264,83377989
Testpmd,8,64,42.685856680,83370808
Testpmd,14,64,65.374059504,127683709
Testpmd,14,64,65.292413856,127524309
Testpmd,14,64,65.110443856,127168808
Testpmd,14,128,81.117579064,79216304
Testpmd,14,128,80.570216552,78681802
Testpmd,14,128,80.446605976,78561168
Testpmd,14,256,80.647371624,39378626
Testpmd,14,256,79.870422504,38999229
Testpmd,14,256,79.714920608,38923292
Testpmd,14,512,94.808884704,23146700
Testpmd,14,512,95.167100216,23234171
Testpmd,14,512,95.229876808,23249481
Testpmd,8,128,52.979380008,51737678
Testpmd,8,256,51.904440048,25343996
Testpmd,8,512,94.986415056,23190058
Testpmd,4,512,94.991915112,23191385
Testpmd,4,256,86.797225848,42381457
Testpmd,4,128,61.984867376,60532081
Testpmd,2,128,56.765642144,55435165
Testpmd,2,256,78.179870048,38173764
Testpmd,2,512,92.609074456,22609621
Testpmd,1,128,39.252296424,38332320
Testpmd,1,256,58.565625064,28596528
Testpmd,1,512,67.042700856,16367846
RUN,1,128,40.312438784,39367616
RUN,1,128,40.218001408,39275392
RUN,1,128,40.276983808,39332992
RUN,1,128,40.430829568,39483200
RUN,1,128,40.2251776,39282432
RUN,1,128,40.25810944,39314560
RUN,1,128,40.324038656,39378944
RUN,1,128,40.312832,39368000
RUN,1,128,40.337932288,39392512
RUN,1,256,59.868315648,29232576
RUN,1,256,60.053651456,29323072
RUN,1,256,59.991261184,29292608
RUN,1,256,60.033204224,29313088
RUN,1,256,59.939749888,29267456
RUN,1,256,59.693334528,29147136
RUN,1,256,59.914911744,29255296
RUN,1,512,67.030482944,16364864
RUN,1,512,67.005054976,16358656
RUN,1,512,67.025502208,16363648
RUN,1,512,67.019997184,16362304
RUN,1,512,67.04463872,16368320
RUN,1,512,66.98172416,16352960
RUN,1,512,67.072425984,16375104
RUN,1,64,23.932239872,46742656
RUN,1,64,23.870046208,46621184
RUN,1,64,23.751458816,46389568
RUN,1,64,23.818764288,46521024
RUN,1,64,23.946756096,46770944
